Average private Cpu usage,  0.00078125 , Average private memory usage,  0.00140881147541 , Average private disks usage,  0.000130208333333 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  0.04375 , Average private memory usage,  0.00819672131148 , Average private disks usage,  0.00950520833333 , Average public Cpu usage,  0.15625 , Average public memory usage,  0.0589139344262 , Average public disks usage,  0.0401041666667 , Number of public machines,  1 
Average private Cpu usage,  0.04375 , Average private memory usage,  0.00819672131148 , Average private disks usage,  0.00950520833333 , Average public Cpu usage,  0.1875 , Average public memory usage,  0.0691598360656 , Average public disks usage,  0.05 , Number of public machines,  1 
Average private Cpu usage,  0.04375 , Average private memory usage,  0.00819672131148 , Average private disks usage,  0.00950520833333 , Average public Cpu usage,  0.265625 , Average public memory usage,  0.0768442622951 , Average public disks usage,  0.0802083333333 , Number of public machines,  1 
Average private Cpu usage,  0.04375 , Average private memory usage,  0.00819672131148 , Average private disks usage,  0.00950520833333 , Average public Cpu usage,  0.296875 , Average public memory usage,  0.100409836066 , Average public disks usage,  0.110416666667 , Number of public machines,  1 
Average private Cpu usage,  0.04375 , Average private memory usage,  0.00819672131148 , Average private disks usage,  0.00950520833333 , Average public Cpu usage,  0.40625 , Average public memory usage,  0.128073770492 , Average public disks usage,  0.122395833333 , Number of public machines,  1 
Average private Cpu usage,  0.04375 , Average private memory usage,  0.00819672131148 , Average private disks usage,  0.00950520833333 , Average public Cpu usage,  0.5 , Average public memory usage,  0.147540983607 , Average public disks usage,  0.122916666667 , Number of public machines,  1 
Average private Cpu usage,  0.04375 , Average private memory usage,  0.00819672131148 , Average private disks usage,  0.00950520833333 , Average public Cpu usage,  0.578125 , Average public memory usage,  0.175717213115 , Average public disks usage,  0.152604166667 , Number of public machines,  1 
Average private Cpu usage,  0.04375 , Average private memory usage,  0.00819672131148 , Average private disks usage,  0.00950520833333 , Average public Cpu usage,  0.59375 , Average public memory usage,  0.19262295082 , Average public disks usage,  0.166145833333 , Number of public machines,  1 
Average private Cpu usage,  0.04375 , Average private memory usage,  0.00819672131148 , Average private disks usage,  0.00950520833333 , Average public Cpu usage,  0.703125 , Average public memory usage,  0.196721311475 , Average public disks usage,  0.1984375 , Number of public machines,  1 
Average private Cpu usage,  0.04375 , Average private memory usage,  0.00819672131148 , Average private disks usage,  0.00950520833333 , Average public Cpu usage,  0.8125 , Average public memory usage,  0.200307377049 , Average public disks usage,  0.215625 , Number of public machines,  1 
Average private Cpu usage,  0.04375 , Average private memory usage,  0.00819672131148 , Average private disks usage,  0.00950520833333 , Average public Cpu usage,  0.4375 , Average public memory usage,  0.109887295082 , Average public disks usage,  0.112760416667 , Number of public machines,  2 
Average private Cpu usage,  0.04375 , Average private memory usage,  0.00819672131148 , Average private disks usage,  0.00950520833333 , Average public Cpu usage,  0.307291666667 , Average public memory usage,  0.0747950819672 , Average public disks usage,  0.0807291666667 , Number of public machines,  3 
Average private Cpu usage,  0.04375 , Average private memory usage,  0.00819672131148 , Average private disks usage,  0.00950520833333 , Average public Cpu usage,  0.25 , Average public memory usage,  0.0609631147541 , Average public disks usage,  0.0611979166667 , Number of public machines,  4 
Average private Cpu usage,  0.03984375 , Average private memory usage,  0.00678790983607 , Average private disks usage,  0.00802083333333 , Average public Cpu usage,  0.25 , Average public memory usage,  0.0609631147541 , Average public disks usage,  0.0611979166667 , Number of public machines,  4 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.2 , Average public memory usage,  0.0487704918033 , Average public disks usage,  0.0489583333333 , Number of public machines,  5 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.184895833333 , Average public memory usage,  0.0443989071038 , Average public disks usage,  0.0428819444444 , Number of public machines,  6 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.162946428571 , Average public memory usage,  0.0384953161593 , Average public disks usage,  0.0393601190476 , Number of public machines,  7 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.150390625 , Average public memory usage,  0.035412397541 , Average public disks usage,  0.0385416666667 , Number of public machines,  8 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.140625 , Average public memory usage,  0.0340391621129 , Average public disks usage,  0.0353587962963 , Number of public machines,  9 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.1328125 , Average public memory usage,  0.033862704918 , Average public disks usage,  0.0351041666667 , Number of public machines,  10 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.129261363636 , Average public memory usage,  0.0319020119225 , Average public disks usage,  0.0319602272727 , Number of public machines,  11 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.125 , Average public memory usage,  0.0310365437158 , Average public disks usage,  0.0294270833333 , Number of public machines,  12 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.121394230769 , Average public memory usage,  0.0296343001261 , Average public disks usage,  0.0274439102564 , Number of public machines,  13 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.1171875 , Average public memory usage,  0.029237412178 , Average public disks usage,  0.0274925595238 , Number of public machines,  14 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.1125 , Average public memory usage,  0.0287568306011 , Average public disks usage,  0.0267013888889 , Number of public machines,  15 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.1083984375 , Average public memory usage,  0.0286885245902 , Average public disks usage,  0.02509765625 , Number of public machines,  16 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.108455882353 , Average public memory usage,  0.0280556894889 , Average public disks usage,  0.025 , Number of public machines,  17 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.105034722222 , Average public memory usage,  0.0268954918033 , Average public disks usage,  0.024681712963 , Number of public machines,  18 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.101973684211 , Average public memory usage,  0.0257226056946 , Average public disks usage,  0.0236842105263 , Number of public machines,  19 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.10234375 , Average public memory usage,  0.0246413934426 , Average public disks usage,  0.0234375 , Number of public machines,  20 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.10119047619 , Average public memory usage,  0.0237851288056 , Average public disks usage,  0.0232886904762 , Number of public machines,  21 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.0980113636364 , Average public memory usage,  0.0233094262295 , Average public disks usage,  0.0236979166667 , Number of public machines,  22 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.0985054347826 , Average public memory usage,  0.0236992159658 , Average public disks usage,  0.0227581521739 , Number of public machines,  23 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.0970052083333 , Average public memory usage,  0.0236296106557 , Average public disks usage,  0.0219835069444 , Number of public machines,  24 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.094375 , Average public memory usage,  0.0233401639344 , Average public disks usage,  0.0213333333333 , Number of public machines,  25 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.09375 , Average public memory usage,  0.0226395018916 , Average public disks usage,  0.0207131410256 , Number of public machines,  26 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.0914351851852 , Average public memory usage,  0.0224840619308 , Average public disks usage,  0.0201967592593 , Number of public machines,  27 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.0920758928571 , Average public memory usage,  0.0217908372365 , Average public disks usage,  0.0201264880952 , Number of public machines,  28 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00699282786885 , Average private disks usage,  0.00880208333333 , Average public Cpu usage,  0.0932112068966 , Average public memory usage,  0.0219403617863 , Average public disks usage,  0.0194683908046 , Number of public machines,  29 
Average private Cpu usage,  0.03515625 , Average private memory usage,  0.00560963114754 , Average private disks usage,  0.008203125 , Average public Cpu usage,  0.0932112068966 , Average public memory usage,  0.0219403617863 , Average public disks usage,  0.0194683908046 , Number of public machines,  29 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00673668032787 , Average private disks usage,  0.00893229166667 , Average public Cpu usage,  0.0901041666667 , Average public memory usage,  0.0212090163934 , Average public disks usage,  0.0188194444444 , Number of public machines,  30 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00673668032787 , Average private disks usage,  0.00893229166667 , Average public Cpu usage,  0.0887096774194 , Average public memory usage,  0.0213015600212 , Average public disks usage,  0.0182459677419 , Number of public machines,  31 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00673668032787 , Average private disks usage,  0.00893229166667 , Average public Cpu usage,  0.08642578125 , Average public memory usage,  0.0216284579918 , Average public disks usage,  0.0186360677083 , Number of public machines,  32 
Average private Cpu usage,  0.03515625 , Average private memory usage,  0.00663422131148 , Average private disks usage,  0.00856770833333 , Average public Cpu usage,  0.08642578125 , Average public memory usage,  0.0216284579918 , Average public disks usage,  0.0186360677083 , Number of public machines,  32 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.0838068181818 , Average public memory usage,  0.0209730501739 , Average public disks usage,  0.0180713383838 , Number of public machines,  33 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.0818014705882 , Average public memory usage,  0.0210040983607 , Average public disks usage,  0.0178308823529 , Number of public machines,  34 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.0825892857143 , Average public memory usage,  0.0204478922717 , Average public disks usage,  0.0181547619048 , Number of public machines,  35 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.0815972222222 , Average public memory usage,  0.0200221994536 , Average public disks usage,  0.0180989583333 , Number of public machines,  36 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.0806587837838 , Average public memory usage,  0.0201733495791 , Average public disks usage,  0.0178068693694 , Number of public machines,  37 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.0801809210526 , Average public memory usage,  0.0202086928387 , Average public disks usage,  0.0179550438596 , Number of public machines,  38 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.0789262820513 , Average public memory usage,  0.0197956073981 , Average public disks usage,  0.0178552350427 , Number of public machines,  39 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.078125 , Average public memory usage,  0.0199410860656 , Average public disks usage,  0.0179427083333 , Number of public machines,  40 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.077362804878 , Average public memory usage,  0.0200169932027 , Average public disks usage,  0.0175304878049 , Number of public machines,  41 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.0777529761905 , Average public memory usage,  0.0202844457455 , Average public disks usage,  0.0174603174603 , Number of public machines,  42 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.077398255814 , Average public memory usage,  0.0205513724743 , Average public disks usage,  0.017793120155 , Number of public machines,  43 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.0784801136364 , Average public memory usage,  0.0206780923994 , Average public disks usage,  0.0178858901515 , Number of public machines,  44 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.0795138888889 , Average public memory usage,  0.0207991803279 , Average public disks usage,  0.0179398148148 , Number of public machines,  45 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.0801630434783 , Average public memory usage,  0.0203915716322 , Average public disks usage,  0.0179800724638 , Number of public machines,  46 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.0811170212766 , Average public memory usage,  0.0205245029648 , Average public disks usage,  0.0177637411348 , Number of public machines,  47 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.0797526041667 , Average public memory usage,  0.0205024760929 , Average public disks usage,  0.0179904513889 , Number of public machines,  48 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.078762755102 , Average public memory usage,  0.0205649882904 , Average public disks usage,  0.0178677721088 , Number of public machines,  49 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.079375 , Average public memory usage,  0.0203176229508 , Average public disks usage,  0.01771875 , Number of public machines,  50 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.078737745098 , Average public memory usage,  0.0204114432658 , Average public disks usage,  0.0174325980392 , Number of public machines,  51 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.078125 , Average public memory usage,  0.0201666929382 , Average public disks usage,  0.017437900641 , Number of public machines,  52 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.076945754717 , Average public memory usage,  0.0200085060315 , Average public disks usage,  0.0173152515723 , Number of public machines,  53 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.0769675925926 , Average public memory usage,  0.0197518214936 , Average public disks usage,  0.0172357253086 , Number of public machines,  54 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.0772727272727 , Average public memory usage,  0.0195883010432 , Average public disks usage,  0.0171306818182 , Number of public machines,  55 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.0772879464286 , Average public memory usage,  0.019394028103 , Average public disks usage,  0.0171223958333 , Number of public machines,  56 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.077850877193 , Average public memory usage,  0.0193054357204 , Average public disks usage,  0.0168494152047 , Number of public machines,  57 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.0783943965517 , Average public memory usage,  0.0193170576597 , Average public disks usage,  0.0169450431034 , Number of public machines,  58 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.078125 , Average public memory usage,  0.0194932620172 , Average public disks usage,  0.0167108050847 , Number of public machines,  59 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.0783854166667 , Average public memory usage,  0.0191854508197 , Average public disks usage,  0.0164756944444 , Number of public machines,  60 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.078125 , Average public memory usage,  0.0191396801935 , Average public disks usage,  0.0164361338798 , Number of public machines,  61 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.077872983871 , Average public memory usage,  0.0190044949762 , Average public disks usage,  0.016313844086 , Number of public machines,  62 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.077628968254 , Average public memory usage,  0.0189630497008 , Average public disks usage,  0.0164599867725 , Number of public machines,  63 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.077880859375 , Average public memory usage,  0.0190749871926 , Average public disks usage,  0.0163330078125 , Number of public machines,  64 
Average private Cpu usage,  0.04140625 , Average private memory usage,  0.00730020491803 , Average private disks usage,  0.00864583333333 , Average public Cpu usage,  0.0778846153846 , Average public memory usage,  0.0190967843632 , Average public disks usage,  0.0161137820513 , Number of public machines,  65 
Average private Cpu usage,  0.03515625 , Average private memory usage,  0.00686475409836 , Average private disks usage,  0.00763020833333 , Average public Cpu usage,  0.0778846153846 , Average public memory usage,  0.0190967843632 , Average public disks usage,  0.0161137820513 , Number of public machines,  65 
Average private Cpu usage,  0.03828125 , Average private memory usage,  0.00753073770492 , Average private disks usage,  0.008671875 , Average public Cpu usage,  0.0767045454545 , Average public memory usage,  0.0188074391456 , Average public disks usage,  0.0158696338384 , Number of public machines,  66 
Average private Cpu usage,  0.0390625 , Average private memory usage,  0.00840163934426 , Average private disks usage,  0.00895833333333 , Average public Cpu usage,  0.0755597014925 , Average public memory usage,  0.0185267310986 , Average public disks usage,  0.0156327736318 , Number of public machines,  67 
Average private Cpu usage,  0.04375 , Average private memory usage,  0.00919569672131 , Average private disks usage,  0.0103645833333 , Average public Cpu usage,  0.0744485294118 , Average public memory usage,  0.0182542791707 , Average public disks usage,  0.015402879902 , Number of public machines,  68 
Average private Cpu usage,  0.04375 , Average private memory usage,  0.00919569672131 , Average private disks usage,  0.0103645833333 , Average public Cpu usage,  0.0749547101449 , Average public memory usage,  0.018427773818 , Average public disks usage,  0.0156551932367 , Number of public machines,  69 
Average private Cpu usage,  0.04375 , Average private memory usage,  0.00919569672131 , Average private disks usage,  0.0103645833333 , Average public Cpu usage,  0.0745535714286 , Average public memory usage,  0.018193793911 , Average public disks usage,  0.0158333333333 , Number of public machines,  70 
Average private Cpu usage,  0.04375 , Average private memory usage,  0.00919569672131 , Average private disks usage,  0.0103645833333 , Average public Cpu usage,  0.0743838028169 , Average public memory usage,  0.0181034980374 , Average public disks usage,  0.0158450704225 , Number of public machines,  71 
Average private Cpu usage,  0.04375 , Average private memory usage,  0.00919569672131 , Average private disks usage,  0.0103645833333 , Average public Cpu usage,  0.0750868055556 , Average public memory usage,  0.0182576275046 , Average public disks usage,  0.0158420138889 , Number of public machines,  72 
Average private Cpu usage,  0.04375 , Average private memory usage,  0.00919569672131 , Average private disks usage,  0.0103645833333 , Average public Cpu usage,  0.0749143835616 , Average public memory usage,  0.0182320907254 , Average public disks usage,  0.0157034817352 , Number of public machines,  73 
Average private Cpu usage,  0.04375 , Average private memory usage,  0.00919569672131 , Average private disks usage,  0.0103645833333 , Average public Cpu usage,  0.0747466216216 , Average public memory usage,  0.0182210899424 , Average public disks usage,  0.0156461148649 , Number of public machines,  74 
Average private Cpu usage,  0.0421875 , Average private memory usage,  0.00827356557377 , Average private disks usage,  0.0100260416667 , Average public Cpu usage,  0.0747466216216 , Average public memory usage,  0.0182210899424 , Average public disks usage,  0.0156461148649 , Number of public machines,  74 
Average private Cpu usage,  0.0421875 , Average private memory usage,  0.00827356557377 , Average private disks usage,  0.0100260416667 , Average public Cpu usage,  0.075 , Average public memory usage,  0.0181352459016 , Average public disks usage,  0.0157916666667 , Number of public machines,  75 
Average private Cpu usage,  0.0421875 , Average private memory usage,  0.00827356557377 , Average private disks usage,  0.0100260416667 , Average public Cpu usage,  0.07421875 , Average public memory usage,  0.0182201790336 , Average public disks usage,  0.0156181469298 , Number of public machines,  76 
Average private Cpu usage,  0.0421875 , Average private memory usage,  0.00827356557377 , Average private disks usage,  0.0100260416667 , Average public Cpu usage,  0.0746753246753 , Average public memory usage,  0.0182962529274 , Average public disks usage,  0.015726461039 , Number of public machines,  77 
Average private Cpu usage,  0.0421875 , Average private memory usage,  0.00827356557377 , Average private disks usage,  0.0100260416667 , Average public Cpu usage,  0.0753205128205 , Average public memory usage,  0.0183375367802 , Average public disks usage,  0.0155381944444 , Number of public machines,  78 
Average private Cpu usage,  0.0421875 , Average private memory usage,  0.00827356557377 , Average private disks usage,  0.0100260416667 , Average public Cpu usage,  0.074960443038 , Average public memory usage,  0.0182415957668 , Average public disks usage,  0.0154997362869 , Number of public machines,  79 
Average private Cpu usage,  0.0421875 , Average private memory usage,  0.00827356557377 , Average private disks usage,  0.0100260416667 , Average public Cpu usage,  0.074609375 , Average public memory usage,  0.0182120901639 , Average public disks usage,  0.01568359375 , Number of public machines,  80 
Average private Cpu usage,  0.0421875 , Average private memory usage,  0.00827356557377 , Average private disks usage,  0.0100260416667 , Average public Cpu usage,  0.0738811728395 , Average public memory usage,  0.0180378465898 , Average public disks usage,  0.0155221193416 , Number of public machines,  81 
Average private Cpu usage,  0.0421875 , Average private memory usage,  0.00827356557377 , Average private disks usage,  0.0100260416667 , Average public Cpu usage,  0.0743140243902 , Average public memory usage,  0.0180240403838 , Average public disks usage,  0.0153772865854 , Number of public machines,  82 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00709528688525 , Average private disks usage,  0.00942708333333 , Average public Cpu usage,  0.0743140243902 , Average public memory usage,  0.0180240403838 , Average public disks usage,  0.0153772865854 , Number of public machines,  82 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00709528688525 , Average private disks usage,  0.00942708333333 , Average public Cpu usage,  0.074171686747 , Average public memory usage,  0.0179673612483 , Average public disks usage,  0.0153488955823 , Number of public machines,  83 
Average private Cpu usage,  0.040625 , Average private memory usage,  0.00709528688525 , Average private disks usage,  0.00942708333333 , Average public Cpu usage,  0.0744047619048 , Average public memory usage,  0.0178327478532 , Average public disks usage,  0.0152777777778 , Number of public machines,  84 
Average private Cpu usage,  0.03515625 , Average private memory usage,  0.00640368852459 , Average private disks usage,  0.00888020833333 , Average public Cpu usage,  0.0744047619048 , Average public memory usage,  0.0178327478532 , Average public disks usage,  0.0152777777778 , Number of public machines,  84 
Average private Cpu usage,  0.0390625 , Average private memory usage,  0.00763319672131 , Average private disks usage,  0.010078125 , Average public Cpu usage,  0.0735294117647 , Average public memory usage,  0.0176229508197 , Average public disks usage,  0.0150980392157 , Number of public machines,  85 
Average private Cpu usage,  0.03984375 , Average private memory usage,  0.00829918032787 , Average private disks usage,  0.011484375 , Average public Cpu usage,  0.0726744186047 , Average public memory usage,  0.0174180327869 , Average public disks usage,  0.0149224806202 , Number of public machines,  86 
Average private Cpu usage,  0.034375 , Average private memory usage,  0.00758196721311 , Average private disks usage,  0.01140625 , Average public Cpu usage,  0.0726744186047 , Average public memory usage,  0.0174180327869 , Average public disks usage,  0.0149224806202 , Number of public machines,  86 
Average private Cpu usage,  0.03046875 , Average private memory usage,  0.00719774590164 , Average private disks usage,  0.00989583333333 , Average public Cpu usage,  0.0726744186047 , Average public memory usage,  0.0174180327869 , Average public disks usage,  0.0149224806202 , Number of public machines,  86 
Average private Cpu usage,  0.03359375 , Average private memory usage,  0.00740266393443 , Average private disks usage,  0.010703125 , Average public Cpu usage,  0.0718390804598 , Average public memory usage,  0.0172178255135 , Average public disks usage,  0.0147509578544 , Number of public machines,  87 
Average private Cpu usage,  0.0390625 , Average private memory usage,  0.00819672131148 , Average private disks usage,  0.0122395833333 , Average public Cpu usage,  0.0710227272727 , Average public memory usage,  0.0170221684054 , Average public disks usage,  0.0145833333333 , Number of public machines,  88 
